Type,Algorithm,NP,Size,Avg_Latency,Min_Latency,Max_Latency,Iterations
Broadcast,1,2,1,0.14,0.09,0.18,1000
Broadcast,1,2,2,0.14,0.08,0.20,1000
Broadcast,1,2,4,0.13,0.09,0.17,1000
Broadcast,1,2,8,0.14,0.09,0.19,1000
Broadcast,1,2,16,0.13,0.08,0.17,1000
Broadcast,1,2,32,0.15,0.09,0.20,1000
Broadcast,1,2,64,0.14,0.08,0.20,1000
Broadcast,1,2,128,0.20,0.13,0.26,1000
Broadcast,1,2,256,0.19,0.13,0.25,1000
Broadcast,1,2,512,0.22,0.14,0.30,1000
Broadcast,1,2,1024,0.23,0.15,0.31,1000
Broadcast,1,2,2048,0.29,0.19,0.39,1000
Broadcast,1,2,4096,0.40,0.26,0.53,1000
Broadcast,1,2,8192,0.55,0.39,0.71,1000
Broadcast,1,2,16384,5.78,5.68,5.89,1000
Broadcast,1,2,32768,4.87,4.80,4.94,1000
Broadcast,1,2,65536,5.97,5.89,6.05,1000
Broadcast,1,2,131072,8.16,8.09,8.23,1000
Broadcast,1,2,262144,12.64,12.57,12.72,1000
Broadcast,1,2,524288,29.79,29.70,29.88,1000
Broadcast,1,2,1048576,59.84,59.76,59.91,1000
Broadcast,2,2,1,0.16,0.10,0.21,1000
Broadcast,2,2,2,0.15,0.10,0.19,1000
Broadcast,2,2,4,0.15,0.10,0.21,1000
Broadcast,2,2,8,0.15,0.10,0.20,1000
Broadcast,2,2,16,0.15,0.10,0.21,1000
Broadcast,2,2,32,0.15,0.10,0.20,1000
Broadcast,2,2,64,0.16,0.10,0.22,1000
Broadcast,2,2,128,0.21,0.14,0.28,1000
Broadcast,2,2,256,0.21,0.14,0.28,1000
Broadcast,2,2,512,0.22,0.14,0.30,1000
Broadcast,2,2,1024,0.26,0.16,0.36,1000
Broadcast,2,2,2048,0.30,0.19,0.41,1000
Broadcast,2,2,4096,0.40,0.27,0.53,1000
Broadcast,2,2,8192,0.57,0.41,0.73,1000
Broadcast,2,2,16384,5.82,5.73,5.90,1000
Broadcast,2,2,32768,4.98,4.90,5.06,1000
Broadcast,2,2,65536,6.25,6.18,6.32,1000
Broadcast,2,2,131072,8.20,8.11,8.29,1000
Broadcast,2,2,262144,12.67,12.62,12.73,1000
Broadcast,2,2,524288,29.71,29.67,29.75,1000
Broadcast,2,2,1048576,59.84,59.81,59.86,1000
Broadcast,3,2,1,0.15,0.10,0.20,1000
Broadcast,3,2,2,0.16,0.10,0.22,1000
Broadcast,3,2,4,0.15,0.10,0.20,1000
