Type,Algorithm,NP,Size,Avg_Latency,Min_Latency,Max_Latency,Iterations
Reduce,1,2,4,0.43,0.37,0.49,1000
Reduce,1,2,8,0.41,0.36,0.47,1000
Reduce,1,2,16,0.47,0.41,0.52,1000
Reduce,1,2,32,0.39,0.37,0.41,1000
Reduce,1,2,64,0.39,0.37,0.40,1000
Reduce,1,2,128,0.53,0.51,0.56,1000
Reduce,1,2,256,0.50,0.46,0.54,1000
Reduce,1,2,512,0.55,0.51,0.58,1000
Reduce,1,2,1024,0.59,0.55,0.64,1000
Reduce,1,2,2048,0.79,0.72,0.85,1000
Reduce,1,2,4096,1.31,1.29,1.34,1000
Reduce,1,2,8192,1.35,1.24,1.46,1000
Reduce,1,2,16384,2.04,2.02,2.05,1000
Reduce,1,2,32768,3.78,3.74,3.82,1000
Reduce,1,2,65536,6.91,6.85,6.98,1000
Reduce,1,2,131072,13.70,13.62,13.78,1000
Reduce,1,2,262144,27.16,27.10,27.21,1000
Reduce,1,2,524288,91.37,91.35,91.39,1000
Reduce,1,2,1048576,189.17,189.11,189.23,1000
Reduce,2,2,4,0.42,0.37,0.46,1000
Reduce,2,2,8,0.40,0.35,0.44,1000
Reduce,2,2,16,0.41,0.37,0.46,1000
Reduce,2,2,32,0.41,0.36,0.46,1000
Reduce,2,2,64,0.41,0.37,0.46,1000
Reduce,2,2,128,0.58,0.53,0.63,1000
Reduce,2,2,256,0.54,0.51,0.58,1000
Reduce,2,2,512,0.60,0.54,0.65,1000
Reduce,2,2,1024,0.67,0.63,0.72,1000
Reduce,2,2,2048,0.87,0.81,0.94,1000
Reduce,2,2,4096,1.46,1.45,1.46,1000
Reduce,2,2,8192,2.01,1.86,2.16,1000
Reduce,2,2,16384,3.30,3.27,3.34,1000
Reduce,2,2,32768,3.85,3.85,3.86,1000
Reduce,2,2,65536,7.03,7.00,7.06,1000
Reduce,2,2,131072,13.70,13.69,13.71,1000
Reduce,2,2,262144,27.40,27.37,27.43,1000
Reduce,2,2,524288,91.80,91.79,91.81,1000
Reduce,2,2,1048576,187.51,187.48,187.54,1000
Reduce,3,2,4,0.43,0.41,0.46,1000
Reduce,3,2,8,0.42,0.36,0.48,1000
Reduce,3,2,16,0.46,0.41,0.50,1000
Reduce,3,2,32,0.39,0.38,0.40,1000
Reduce,3,2,64,0.41,0.41,0.42,1000
Reduce,3,2,128,0.49,0.47,0.51,1000
Reduce,3,2,256,0.49,0.47,0.52,1000
Reduce,3,2,512,0.53,0.52,0.55,1000
Reduce,3,2,1024,0.41,0.38,0.43,1000
Reduce,3,2,2048,0.53,0.49,0.58,1000
Reduce,3,2,4096,0.88,0.87,0.88,1000
Reduce,3,2,8192,1.20,1.10,1.30,1000
Reduce,3,2,16384,2.01,2.01,2.01,1000
Reduce,3,2,32768,3.74,3.73,3.75,1000
Reduce,3,2,65536,6.99,6.94,7.03,1000
Reduce,3,2,131072,13.45,13.32,13.58,1000
Reduce,3,2,262144,27.07,26.80,27.33,1000
Reduce,3,2,524288,91.81,91.80,91.83,1000
Reduce,3,2,1048576,188.00,188.00,188.00,1000
Reduce,4,2,4,0.45,0.40,0.50,1000
Reduce,4,2,8,0.41,0.35,0.48,1000
Reduce,4,2,16,0.40,0.35,0.45,1000
Reduce,4,2,32,0.41,0.36,0.45,1000
Reduce,4,2,64,0.44,0.42,0.46,1000
Reduce,4,2,128,0.54,0.50,0.58,1000
Reduce,4,2,256,0.54,0.53,0.56,1000
Reduce,4,2,512,0.59,0.55,0.63,1000
Reduce,4,2,1024,0.67,0.63,0.71,1000
Reduce,4,2,2048,0.88,0.83,0.93,1000
Reduce,4,2,4096,1.44,1.44,1.45,1000
Reduce,4,2,8192,1.52,1.47,1.58,1000
Reduce,4,2,16384,2.01,2.00,2.02,1000
Reduce,4,2,32768,3.78,3.75,3.80,1000
Reduce,4,2,65536,6.92,6.90,6.93,1000
Reduce,4,2,131072,13.31,13.29,13.34,1000
Reduce,4,2,262144,26.96,26.93,26.98,1000
Reduce,4,2,524288,90.45,90.43,90.48,1000
Reduce,4,2,1048576,185.60,185.57,185.62,1000
Reduce,1,4,4,0.84,0.70,0.95,1000
Reduce,1,4,8,0.84,0.71,0.94,1000
Reduce,1,4,16,0.72,0.61,0.80,1000
Reduce,1,4,32,0.71,0.62,0.78,1000
Reduce,1,4,64,0.71,0.62,0.78,1000
Reduce,1,4,128,0.96,0.86,1.05,1000
Reduce,1,4,256,0.96,0.87,1.05,1000
Reduce,1,4,512,1.04,0.95,1.11,1000
Reduce,1,4,1024,1.17,1.08,1.26,1000
Reduce,1,4,2048,1.47,1.32,1.57,1000
Reduce,1,4,4096,1.99,1.71,2.25,1000
Reduce,1,4,8192,3.31,3.21,3.40,1000
Reduce,1,4,16384,5.01,4.81,5.13,1000
Reduce,1,4,32768,7.43,7.22,7.70,1000
Reduce,1,4,65536,10.72,10.63,10.76,1000
Reduce,1,4,131072,21.12,20.83,21.25,1000
Reduce,1,4,262144,43.44,43.03,43.75,1000
Reduce,1,4,524288,161.86,161.60,162.13,1000
Reduce,1,4,1048576,421.32,419.48,423.15,1000
Reduce,2,4,4,0.50,0.41,0.58,1000
Reduce,2,4,8,0.50,0.41,0.58,1000
Reduce,2,4,16,0.49,0.41,0.58,1000
Reduce,2,4,32,0.50,0.41,0.59,1000
Reduce,2,4,64,0.52,0.41,0.63,1000
Reduce,2,4,128,0.69,0.60,0.79,1000
Reduce,2,4,256,0.70,0.62,0.79,1000
Reduce,2,4,512,0.74,0.67,0.82,1000
Reduce,2,4,1024,0.86,0.77,0.94,1000
Reduce,2,4,2048,1.09,1.04,1.16,1000
Reduce,2,4,4096,1.50,1.43,1.57,1000
Reduce,2,4,8192,2.44,2.39,2.47,1000
Reduce,2,4,16384,3.63,3.55,3.69,1000
Reduce,2,4,32768,6.10,5.97,6.27,1000
Reduce,2,4,65536,10.86,10.60,11.07,1000
Reduce,2,4,131072,21.25,21.14,21.39,1000
Reduce,2,4,262144,41.56,41.31,41.81,1000
Reduce,2,4,524288,142.25,138.50,145.99,1000
Reduce,2,4,1048576,354.80,341.24,368.34,1000
Reduce,3,4,4,0.50,0.42,0.58,1000
Reduce,3,4,8,0.50,0.41,0.58,1000
Reduce,3,4,16,0.50,0.42,0.58,1000
Reduce,3,4,32,0.50,0.42,0.59,1000
Reduce,3,4,64,0.49,0.41,0.58,1000
Reduce,3,4,128,0.68,0.60,0.77,1000
Reduce,3,4,256,0.69,0.62,0.77,1000
