Type,Algorithm,NP,Size,Avg_Latency,Min_Latency,Max_Latency,Iterations
Broadcast,1,2,1,0.17,0.09,0.26,1000
Broadcast,1,2,2,0.17,0.09,0.25,1000
Broadcast,1,2,4,0.18,0.10,0.26,1000
Broadcast,1,2,8,0.17,0.09,0.25,1000
Broadcast,1,2,16,0.18,0.10,0.26,1000
Broadcast,1,2,32,0.23,0.10,0.35,1000
Broadcast,1,2,64,0.23,0.10,0.36,1000
Broadcast,1,2,128,0.29,0.17,0.41,1000
Broadcast,1,2,256,0.31,0.18,0.44,1000
Broadcast,1,2,512,0.34,0.18,0.51,1000
Broadcast,1,2,1024,0.39,0.19,0.60,1000
Broadcast,1,2,2048,0.50,0.19,0.80,1000
Broadcast,1,2,4096,0.77,0.34,1.21,1000
Broadcast,1,2,8192,1.25,0.60,1.90,1000
Broadcast,1,2,16384,2.68,2.61,2.75,1000
Broadcast,1,2,32768,4.61,4.52,4.71,1000
Broadcast,1,2,65536,6.20,6.10,6.29,1000
Broadcast,1,2,131072,9.27,9.17,9.37,1000
Broadcast,1,2,262144,15.30,15.25,15.35,1000
Broadcast,1,2,524288,28.80,28.72,28.87,1000
Broadcast,1,2,1048576,60.38,60.36,60.41,1000
Broadcast,2,2,1,0.18,0.10,0.27,1000
Broadcast,2,2,2,0.19,0.10,0.27,1000
Broadcast,2,2,4,0.19,0.10,0.28,1000
Broadcast,2,2,8,0.19,0.10,0.27,1000
Broadcast,2,2,16,0.19,0.10,0.28,1000
Broadcast,2,2,32,0.23,0.11,0.36,1000
Broadcast,2,2,64,0.24,0.10,0.38,1000
Broadcast,2,2,128,0.29,0.15,0.43,1000
Broadcast,2,2,256,0.31,0.16,0.46,1000
Broadcast,2,2,512,0.32,0.14,0.50,1000
Broadcast,2,2,1024,0.39,0.18,0.60,1000
Broadcast,2,2,2048,0.49,0.19,0.78,1000
Broadcast,2,2,4096,0.76,0.34,1.17,1000
Broadcast,2,2,8192,1.20,0.58,1.82,1000
Broadcast,2,2,16384,2.69,2.63,2.74,1000
Broadcast,2,2,32768,4.62,4.53,4.71,1000
Broadcast,2,2,65536,6.12,6.03,6.21,1000
Broadcast,2,2,131072,9.24,9.14,9.33,1000
Broadcast,2,2,262144,15.27,15.21,15.33,1000
Broadcast,2,2,524288,28.56,28.51,28.61,1000
Broadcast,2,2,1048576,62.02,62.01,62.03,1000
Broadcast,3,2,1,0.18,0.10,0.26,1000
Broadcast,3,2,2,0.20,0.11,0.28,1000
Broadcast,3,2,4,0.19,0.11,0.28,1000
Broadcast,3,2,8,0.20,0.12,0.28,1000
Broadcast,3,2,16,0.19,0.11,0.28,1000
Broadcast,3,2,32,0.24,0.11,0.37,1000
Broadcast,3,2,64,0.24,0.11,0.36,1000
Broadcast,3,2,128,0.29,0.15,0.44,1000
Broadcast,3,2,256,0.31,0.15,0.47,1000
Broadcast,3,2,512,0.34,0.16,0.53,1000
Broadcast,3,2,1024,0.41,0.20,0.62,1000
Broadcast,3,2,2048,0.52,0.21,0.83,1000
Broadcast,3,2,4096,0.79,0.35,1.23,1000
Broadcast,3,2,8192,1.27,0.61,1.93,1000
Broadcast,3,2,16384,2.73,2.66,2.80,1000
Broadcast,3,2,32768,4.61,4.50,4.71,1000
Broadcast,3,2,65536,6.10,5.99,6.20,1000
Broadcast,3,2,131072,9.22,9.11,9.32,1000
Broadcast,3,2,262144,15.23,15.16,15.30,1000
Broadcast,3,2,524288,28.80,28.75,28.84,1000
Broadcast,3,2,1048576,62.59,62.53,62.65,1000
Broadcast,5,2,1,0.18,0.09,0.26,1000
Broadcast,5,2,2,0.19,0.10,0.27,1000
Broadcast,5,2,4,0.19,0.11,0.28,1000
Broadcast,5,2,8,0.19,0.10,0.27,1000
Broadcast,5,2,16,0.19,0.10,0.28,1000
Broadcast,5,2,32,0.22,0.10,0.34,1000
Broadcast,5,2,64,0.22,0.11,0.34,1000
Broadcast,5,2,128,0.28,0.14,0.43,1000
Broadcast,5,2,256,0.30,0.15,0.44,1000
Broadcast,5,2,512,0.31,0.14,0.48,1000
Broadcast,5,2,1024,0.37,0.17,0.58,1000
Broadcast,5,2,2048,0.48,0.19,0.78,1000
Broadcast,5,2,4096,0.73,0.32,1.14,1000
Broadcast,5,2,8192,1.19,0.58,1.80,1000
Broadcast,5,2,16384,2.71,2.66,2.76,1000
Broadcast,5,2,32768,4.60,4.51,4.70,1000
Broadcast,5,2,65536,6.08,5.98,6.17,1000
Broadcast,5,2,131072,9.15,9.05,9.26,1000
Broadcast,5,2,262144,15.02,14.96,15.07,1000
Broadcast,5,2,524288,28.73,28.69,28.76,1000
Broadcast,5,2,1048576,61.39,61.38,61.39,1000
Broadcast,1,3,1,0.34,0.14,0.55,1000
Broadcast,1,3,2,0.34,0.15,0.54,1000
Broadcast,1,3,4,0.35,0.16,0.55,1000
Broadcast,1,3,8,0.34,0.15,0.54,1000
Broadcast,1,3,16,0.33,0.14,0.54,1000
Broadcast,1,3,32,0.37,0.17,0.56,1000
Broadcast,1,3,64,0.37,0.15,0.58,1000
Broadcast,1,3,128,0.44,0.24,0.58,1000
Broadcast,1,3,256,0.46,0.25,0.59,1000
Broadcast,1,3,512,0.51,0.26,0.66,1000
Broadcast,1,3,1024,0.70,0.39,0.89,1000
Broadcast,1,3,2048,0.86,0.47,1.13,1000
Broadcast,1,3,4096,1.28,0.79,1.70,1000
Broadcast,1,3,8192,1.93,1.32,2.61,1000
Broadcast,1,3,16384,4.28,4.22,4.32,1000
Broadcast,1,3,32768,7.07,6.76,7.39,1000
Broadcast,1,3,65536,10.75,10.55,10.88,1000
Broadcast,1,3,131072,18.16,17.72,18.39,1000
Broadcast,1,3,262144,32.51,31.71,32.97,1000
Broadcast,1,3,524288,62.11,60.57,62.96,1000
Broadcast,1,3,1048576,124.58,121.74,126.12,1000
