Type,Algorithm,NP,Size,Avg_Latency,Min_Latency,Max_Latency,Iterations
Broadcast,1,2,1,0.18,0.09,0.28,1000
Broadcast,1,2,2,0.19,0.09,0.29,1000
Broadcast,1,2,4,0.19,0.09,0.29,1000
Broadcast,1,2,8,0.18,0.09,0.28,1000
Broadcast,1,2,16,0.19,0.09,0.29,1000
Broadcast,1,2,32,0.21,0.09,0.33,1000
Broadcast,1,2,64,0.21,0.09,0.33,1000
Broadcast,1,2,128,0.29,0.12,0.46,1000
Broadcast,1,2,256,0.31,0.14,0.47,1000
Broadcast,1,2,512,0.38,0.18,0.58,1000
Broadcast,1,2,1024,0.38,0.16,0.61,1000
Broadcast,1,2,2048,0.51,0.19,0.84,1000
Broadcast,1,2,4096,0.79,0.35,1.23,1000
Broadcast,1,2,8192,1.29,0.65,1.93,1000
Broadcast,1,2,16384,3.78,3.76,3.80,1000
Broadcast,1,2,32768,6.32,6.23,6.42,1000
Broadcast,1,2,65536,8.37,8.27,8.48,1000
Broadcast,1,2,131072,11.87,11.83,11.92,1000
Broadcast,1,2,262144,18.07,18.01,18.12,1000
Broadcast,1,2,524288,30.45,30.38,30.52,1000
Broadcast,1,2,1048576,62.82,62.79,62.85,1000
Broadcast,2,2,1,0.23,0.14,0.33,1000
Broadcast,2,2,2,0.24,0.13,0.34,1000
Broadcast,2,2,4,0.23,0.13,0.32,1000
Broadcast,2,2,8,0.23,0.13,0.33,1000
Broadcast,2,2,16,0.23,0.13,0.33,1000
Broadcast,2,2,32,0.28,0.14,0.42,1000
Broadcast,2,2,64,0.27,0.14,0.41,1000
Broadcast,2,2,128,0.37,0.18,0.56,1000
Broadcast,2,2,256,0.39,0.20,0.57,1000
Broadcast,2,2,512,0.40,0.18,0.61,1000
Broadcast,2,2,1024,0.48,0.23,0.72,1000
Broadcast,2,2,2048,0.62,0.25,0.99,1000
Broadcast,2,2,4096,0.93,0.42,1.44,1000
Broadcast,2,2,8192,1.45,0.69,2.21,1000
Broadcast,2,2,16384,3.08,3.00,3.15,1000
Broadcast,2,2,32768,5.13,5.01,5.24,1000
Broadcast,2,2,65536,6.59,6.47,6.71,1000
Broadcast,2,2,131072,9.58,9.46,9.69,1000
Broadcast,2,2,262144,15.37,15.29,15.44,1000
Broadcast,2,2,524288,29.01,28.94,29.09,1000
Broadcast,2,2,1048576,62.69,62.64,62.73,1000
Broadcast,3,2,1,0.27,0.16,0.37,1000
Broadcast,3,2,2,0.26,0.16,0.36,1000
Broadcast,3,2,4,0.26,0.16,0.36,1000
Broadcast,3,2,8,0.26,0.16,0.36,1000
Broadcast,3,2,16,0.26,0.16,0.36,1000
Broadcast,3,2,32,0.32,0.16,0.47,1000
Broadcast,3,2,64,0.30,0.15,0.45,1000
Broadcast,3,2,128,0.39,0.21,0.56,1000
Broadcast,3,2,256,0.40,0.22,0.59,1000
Broadcast,3,2,512,0.45,0.22,0.68,1000
Broadcast,3,2,1024,0.53,0.26,0.80,1000
Broadcast,3,2,2048,0.67,0.27,1.08,1000
Broadcast,3,2,4096,1.02,0.46,1.58,1000
Broadcast,3,2,8192,1.66,0.80,2.52,1000
Broadcast,3,2,16384,3.45,3.37,3.53,1000
Broadcast,3,2,32768,5.72,5.61,5.83,1000
Broadcast,3,2,65536,7.58,7.47,7.68,1000
Broadcast,3,2,131072,10.85,10.73,10.98,1000
Broadcast,3,2,262144,16.67,16.59,16.75,1000
Broadcast,3,2,524288,29.63,29.57,29.70,1000
Broadcast,3,2,1048576,62.60,62.59,62.62,1000
Broadcast,5,2,1,0.18,0.09,0.28,1000
Broadcast,5,2,2,0.20,0.10,0.30,1000
Broadcast,5,2,4,0.19,0.10,0.28,1000
Broadcast,5,2,8,0.20,0.10,0.30,1000
Broadcast,5,2,16,0.19,0.10,0.29,1000
Broadcast,5,2,32,0.24,0.10,0.38,1000
Broadcast,5,2,64,0.25,0.10,0.40,1000
Broadcast,5,2,128,0.30,0.15,0.46,1000
Broadcast,5,2,256,0.29,0.14,0.45,1000
Broadcast,5,2,512,0.33,0.14,0.52,1000
Broadcast,5,2,1024,0.40,0.19,0.62,1000
Broadcast,5,2,2048,0.53,0.19,0.87,1000
Broadcast,5,2,4096,0.79,0.35,1.22,1000
Broadcast,5,2,8192,1.26,0.62,1.89,1000
Broadcast,5,2,16384,3.37,3.32,3.41,1000
Broadcast,5,2,32768,5.73,5.63,5.83,1000
Broadcast,5,2,65536,7.48,7.38,7.58,1000
Broadcast,5,2,131072,10.69,10.57,10.80,1000
Broadcast,5,2,262144,16.36,16.29,16.43,1000
Broadcast,5,2,524288,29.19,29.11,29.26,1000
Broadcast,5,2,1048576,60.95,60.92,60.99,1000
Broadcast,1,3,1,0.84,0.25,1.43,1000
Broadcast,1,3,2,0.81,0.23,1.38,1000
Broadcast,1,3,4,0.83,0.24,1.43,1000
Broadcast,1,3,8,0.81,0.23,1.38,1000
Broadcast,1,3,16,0.81,0.22,1.38,1000
Broadcast,1,3,32,0.88,0.24,1.40,1000
Broadcast,1,3,64,0.87,0.23,1.43,1000
Broadcast,1,3,128,1.11,0.42,1.46,1000
Broadcast,1,3,256,1.15,0.43,1.50,1000
Broadcast,1,3,512,1.25,0.46,1.76,1000
Broadcast,1,3,1024,1.51,0.69,2.13,1000
Broadcast,1,3,2048,1.77,0.77,2.63,1000
Broadcast,1,3,4096,2.47,1.54,3.58,1000
Broadcast,1,3,8192,3.66,2.64,5.41,1000
Broadcast,1,3,16384,6.73,6.45,7.21,1000
Broadcast,1,3,32768,10.53,10.00,11.11,1000
Broadcast,1,3,65536,14.33,13.28,15.14,1000
Broadcast,1,3,131072,23.67,21.36,25.20,1000
Broadcast,1,3,262144,41.48,36.24,44.65,1000
Broadcast,1,3,524288,81.50,70.54,87.56,1000
Broadcast,1,3,1048576,170.91,149.49,182.37,1000
Broadcast,2,3,1,0.85,0.25,1.45,1000
Broadcast,2,3,2,0.85,0.25,1.45,1000
Broadcast,2,3,4,0.85,0.25,1.44,1000
Broadcast,2,3,8,0.83,0.26,1.42,1000
Broadcast,2,3,16,0.82,0.23,1.41,1000
Broadcast,2,3,32,0.87,0.22,1.44,1000
Broadcast,2,3,64,0.90,0.24,1.46,1000
Broadcast,2,3,128,1.16,0.43,1.53,1000
Broadcast,2,3,256,1.18,0.47,1.54,1000
Broadcast,2,3,512,1.29,0.57,1.73,1000
Broadcast,2,3,1024,1.55,0.75,2.15,1000
Broadcast,2,3,2048,1.81,0.92,2.62,1000
Broadcast,2,3,4096,2.48,1.56,3.59,1000
Broadcast,2,3,8192,3.68,2.67,5.42,1000
Broadcast,2,3,16384,6.78,6.51,7.22,1000
Broadcast,2,3,32768,10.43,9.86,11.08,1000
Broadcast,2,3,65536,13.72,12.66,14.50,1000
Broadcast,2,3,131072,23.90,21.54,25.51,1000
Broadcast,2,3,262144,41.92,36.78,45.08,1000
Broadcast,2,3,524288,83.38,72.67,89.35,1000
Broadcast,2,3,1048576,176.73,155.38,188.06,1000
Broadcast,3,3,1,0.91,0.13,1.56,1000
Broadcast,3,3,2,0.91,0.13,1.56,1000
