Type,Algorithm,NP,Size,Avg_Latency,Min_Latency,Max_Latency,Iterations
Broadcast,1,2,1,0.18,0.09,0.27,1000
Broadcast,1,2,2,0.19,0.10,0.28,1000
Broadcast,1,2,4,0.20,0.11,0.29,1000
Broadcast,1,2,8,0.19,0.10,0.28,1000
Broadcast,1,2,16,0.21,0.12,0.29,1000
Broadcast,1,2,32,0.25,0.11,0.40,1000
Broadcast,1,2,64,0.25,0.11,0.39,1000
Broadcast,1,2,128,0.31,0.16,0.47,1000
Broadcast,1,2,256,0.33,0.16,0.50,1000
Broadcast,1,2,512,0.38,0.17,0.58,1000
Broadcast,1,2,1024,0.42,0.19,0.66,1000
Broadcast,1,2,2048,0.52,0.19,0.85,1000
Broadcast,1,2,4096,0.82,0.36,1.27,1000
Broadcast,1,2,8192,1.33,0.66,2.00,1000
Broadcast,1,2,16384,3.12,3.06,3.18,1000
Broadcast,1,2,32768,5.22,5.10,5.34,1000
Broadcast,1,2,65536,6.94,6.83,7.06,1000
Broadcast,1,2,131072,10.56,10.43,10.68,1000
Broadcast,1,2,262144,17.42,17.35,17.48,1000
Broadcast,1,2,524288,32.68,32.60,32.75,1000
Broadcast,1,2,1048576,67.66,67.64,67.68,1000
Broadcast,2,2,1,0.21,0.12,0.30,1000
Broadcast,2,2,2,0.22,0.12,0.31,1000
Broadcast,2,2,4,0.22,0.12,0.31,1000
Broadcast,2,2,8,0.22,0.12,0.31,1000
Broadcast,2,2,16,0.22,0.13,0.31,1000
Broadcast,2,2,32,0.27,0.13,0.41,1000
Broadcast,2,2,64,0.27,0.13,0.41,1000
Broadcast,2,2,128,0.33,0.16,0.50,1000
Broadcast,2,2,256,0.34,0.17,0.52,1000
Broadcast,2,2,512,0.36,0.15,0.57,1000
Broadcast,2,2,1024,0.44,0.21,0.67,1000
Broadcast,2,2,2048,0.55,0.22,0.88,1000
Broadcast,2,2,4096,0.84,0.38,1.31,1000
Broadcast,2,2,8192,1.36,0.67,2.05,1000
Broadcast,2,2,16384,3.08,3.02,3.14,1000
Broadcast,2,2,32768,5.25,5.13,5.36,1000
Broadcast,2,2,65536,6.99,6.88,7.10,1000
Broadcast,2,2,131072,10.49,10.37,10.60,1000
Broadcast,2,2,262144,17.28,17.21,17.35,1000
Broadcast,2,2,524288,32.62,32.52,32.71,1000
Broadcast,2,2,1048576,71.19,71.16,71.21,1000
Broadcast,3,2,1,0.20,0.10,0.29,1000
Broadcast,3,2,2,0.21,0.12,0.30,1000
Broadcast,3,2,4,0.21,0.12,0.31,1000
Broadcast,3,2,8,0.21,0.12,0.30,1000
Broadcast,3,2,16,0.21,0.12,0.31,1000
Broadcast,3,2,32,0.27,0.12,0.41,1000
Broadcast,3,2,64,0.25,0.11,0.39,1000
Broadcast,3,2,128,0.33,0.17,0.49,1000
Broadcast,3,2,256,0.36,0.20,0.52,1000
Broadcast,3,2,512,0.39,0.19,0.60,1000
Broadcast,3,2,1024,0.46,0.23,0.69,1000
Broadcast,3,2,2048,0.56,0.23,0.89,1000
Broadcast,3,2,4096,0.85,0.39,1.31,1000
Broadcast,3,2,8192,1.37,0.69,2.05,1000
Broadcast,3,2,16384,3.05,2.98,3.11,1000
Broadcast,3,2,32768,5.19,5.08,5.31,1000
Broadcast,3,2,65536,6.95,6.84,7.06,1000
Broadcast,3,2,131072,10.49,10.38,10.61,1000
Broadcast,3,2,262144,17.39,17.31,17.47,1000
Broadcast,3,2,524288,32.63,32.57,32.69,1000
Broadcast,3,2,1048576,68.92,68.91,68.93,1000
Broadcast,5,2,1,0.20,0.11,0.30,1000
Broadcast,5,2,2,0.21,0.12,0.30,1000
Broadcast,5,2,4,0.21,0.12,0.30,1000
Broadcast,5,2,8,0.21,0.12,0.31,1000
Broadcast,5,2,16,0.21,0.12,0.31,1000
Broadcast,5,2,32,0.28,0.13,0.44,1000
Broadcast,5,2,64,0.26,0.12,0.39,1000
Broadcast,5,2,128,0.34,0.16,0.53,1000
Broadcast,5,2,256,0.32,0.16,0.47,1000
Broadcast,5,2,512,0.36,0.16,0.56,1000
Broadcast,5,2,1024,0.44,0.22,0.66,1000
Broadcast,5,2,2048,0.55,0.22,0.88,1000
Broadcast,5,2,4096,0.84,0.38,1.31,1000
Broadcast,5,2,8192,1.36,0.67,2.04,1000
Broadcast,5,2,16384,3.07,2.98,3.16,1000
Broadcast,5,2,32768,5.20,5.09,5.31,1000
Broadcast,5,2,65536,6.91,6.81,7.02,1000
Broadcast,5,2,131072,10.53,10.39,10.67,1000
Broadcast,5,2,262144,17.18,17.11,17.25,1000
Broadcast,5,2,524288,32.87,32.80,32.93,1000
Broadcast,5,2,1048576,70.30,70.29,70.31,1000
Broadcast,1,3,1,0.39,0.16,0.65,1000
Broadcast,1,3,2,0.41,0.18,0.67,1000
Broadcast,1,3,4,0.39,0.16,0.65,1000
Broadcast,1,3,8,0.38,0.16,0.65,1000
Broadcast,1,3,16,0.39,0.16,0.65,1000
Broadcast,1,3,32,0.43,0.17,0.68,1000
Broadcast,1,3,64,0.42,0.17,0.67,1000
Broadcast,1,3,128,0.52,0.28,0.70,1000
Broadcast,1,3,256,0.55,0.30,0.73,1000
Broadcast,1,3,512,0.62,0.32,0.79,1000
Broadcast,1,3,1024,0.77,0.42,0.95,1000
Broadcast,1,3,2048,0.96,0.51,1.25,1000
Broadcast,1,3,4096,1.46,0.90,1.91,1000
Broadcast,1,3,8192,2.21,1.54,2.95,1000
Broadcast,1,3,16384,4.85,4.80,4.89,1000
Broadcast,1,3,32768,7.65,7.53,7.74,1000
Broadcast,1,3,65536,11.95,11.83,12.08,1000
Broadcast,1,3,131072,19.50,19.32,19.73,1000
Broadcast,1,3,262144,34.66,34.12,35.07,1000
Broadcast,1,3,524288,65.94,64.37,66.79,1000
Broadcast,1,3,1048576,134.40,130.73,136.26,1000
Broadcast,2,3,1,0.40,0.17,0.65,1000
Broadcast,2,3,2,0.42,0.19,0.68,1000
Broadcast,2,3,4,0.40,0.17,0.65,1000
Broadcast,2,3,8,0.40,0.17,0.65,1000
Broadcast,2,3,16,0.40,0.17,0.65,1000
Broadcast,2,3,32,0.43,0.18,0.67,1000
Broadcast,2,3,64,0.43,0.18,0.68,1000
Broadcast,2,3,128,0.57,0.31,0.72,1000
Broadcast,2,3,256,0.60,0.33,0.76,1000
Broadcast,2,3,512,0.62,0.33,0.80,1000
Broadcast,2,3,1024,0.80,0.45,0.98,1000
Broadcast,2,3,2048,0.99,0.55,1.27,1000
Broadcast,2,3,4096,1.49,0.95,1.95,1000
Broadcast,2,3,8192,2.22,1.56,2.96,1000
Broadcast,2,3,16384,4.71,4.67,4.74,1000
Broadcast,2,3,32768,7.75,7.60,7.87,1000
Broadcast,2,3,65536,11.94,11.84,12.04,1000
Broadcast,2,3,131072,19.66,19.56,19.81,1000
Broadcast,2,3,262144,34.52,34.14,34.83,1000
Broadcast,2,3,524288,64.57,63.57,65.28,1000
Broadcast,2,3,1048576,130.19,127.71,131.57,1000
Broadcast,3,3,1,0.50,0.11,0.77,1000
Broadcast,3,3,2,0.50,0.11,0.78,1000
Broadcast,3,3,4,0.50,0.12,0.76,1000
Broadcast,3,3,8,0.49,0.11,0.77,1000
Broadcast,3,3,16,0.50,0.11,0.77,1000
Broadcast,3,3,32,0.56,0.11,0.82,1000
Broadcast,3,3,64,0.55,0.11,0.81,1000
Broadcast,3,3,128,0.66,0.15,0.91,1000
Broadcast,3,3,256,0.69,0.17,0.95,1000
Broadcast,3,3,512,0.73,0.15,1.05,1000
Broadcast,3,3,1024,0.92,0.21,1.34,1000
Broadcast,3,3,2048,1.16,0.23,1.79,1000
Broadcast,3,3,4096,1.65,0.37,2.58,1000
Broadcast,3,3,8192,2.61,0.68,4.10,1000
Broadcast,3,3,16384,7.06,4.04,8.82,1000
Broadcast,3,3,32768,11.71,6.94,14.30,1000
Broadcast,3,3,65536,16.93,10.17,20.55,1000
Broadcast,3,3,131072,27.15,16.76,32.61,1000
Broadcast,3,3,262144,47.56,29.79,56.68,1000
Broadcast,3,3,524288,87.16,53.97,104.01,1000
Broadcast,3,3,1048576,174.89,109.91,207.67,1000
Broadcast,5,3,1,0.39,0.17,0.67,1000
Broadcast,5,3,2,0.43,0.18,0.70,1000
Broadcast,5,3,4,0.41,0.16,0.68,1000
Broadcast,5,3,8,0.40,0.16,0.66,1000
Broadcast,5,3,16,0.40,0.16,0.67,1000
