ntasks,global_data_size,parallel_time,serial_time,run_serial
2,2000000,0.227237,0.355923,1
2,2000000,0.226697,0.355542,1
2,2000000,0.228402,0.355335,1
2,2000000,0.224686,0.355929,1
2,2000000,0.241102,0.355359,1
2,2000000,0.225574,0.356049,1
2,2000000,0.227933,0.355960,1
2,2000000,0.225358,0.356208,1
2,2000000,0.229799,0.356365,1
2,2000000,0.225915,0.356045,1
4,4000000,0.296789,0.749469,1
4,4000000,0.296578,0.746241,1
4,4000000,0.297090,0.748709,1
4,4000000,0.296469,0.753446,1
4,4000000,0.305380,0.748734,1
4,4000000,0.295747,0.748521,1
4,4000000,0.297586,0.750177,1
4,4000000,0.296598,0.749273,1
4,4000000,0.296702,0.746690,1
4,4000000,0.297218,0.750045,1
6,6000000,0.350908,1.164347,1
6,6000000,0.348820,1.163317,1
6,6000000,0.350424,1.165293,1
6,6000000,0.350115,1.162065,1
6,6000000,0.350869,1.165061,1
6,6000000,0.349490,1.168849,1
6,6000000,0.354182,1.162556,1
6,6000000,0.351509,1.209059,1
6,6000000,0.348978,1.163115,1
6,6000000,0.354979,1.162968,1
8,8000000,0.405200,1.599754,1
8,8000000,0.406832,1.616524,1
8,8000000,0.404811,1.600083,1
8,8000000,0.406288,1.599002,1
8,8000000,0.407693,1.601339,1
8,8000000,0.406350,1.597630,1
8,8000000,0.406128,1.597968,1
8,8000000,0.407511,1.597552,1
8,8000000,0.404122,1.596896,1
8,8000000,0.403337,1.598986,1
10,10000000,0.420660,2.027389,1
10,10000000,0.404285,2.027120,1
10,10000000,0.407468,2.030536,1
10,10000000,0.407578,2.049047,1
10,10000000,0.407953,2.029548,1
10,10000000,0.409493,2.101341,1
10,10000000,0.409857,2.027619,1
10,10000000,0.409647,2.031621,1
10,10000000,0.407808,2.026534,1
10,10000000,0.405152,2.040848,1
12,12000000,0.442643,2.467627,1
12,12000000,0.441541,2.438286,1
12,12000000,0.441432,2.434037,1
12,12000000,0.441221,2.427933,1
12,12000000,0.441529,2.522604,1
12,12000000,0.441696,2.435501,1
12,12000000,0.442562,2.429034,1
12,12000000,0.442856,2.516597,1
12,12000000,0.440691,2.429034,1
12,12000000,0.441723,2.450256,1
14,14000000,0.472836,2.882101,1
14,14000000,0.473663,2.916911,1
14,14000000,0.474259,2.947931,1
14,14000000,0.471187,2.905124,1
14,14000000,0.474020,2.895524,1
14,14000000,0.473048,2.887098,1
14,14000000,0.470488,2.881885,1
14,14000000,0.474929,2.885213,1
14,14000000,0.473282,2.882582,1
14,14000000,0.475062,2.885273,1
16,16000000,0.453179,3.357895,1
16,16000000,0.454136,3.344416,1
16,16000000,0.454424,3.358421,1
16,16000000,0.452939,3.347047,1
16,16000000,0.454027,3.365244,1
16,16000000,0.452697,3.408738,1
16,16000000,0.452854,3.344309,1
16,16000000,0.454850,3.341017,1
16,16000000,0.453999,3.350488,1
16,16000000,0.454077,3.347372,1
18,18000000,0.492842,3.781806,1
18,18000000,0.494408,3.769372,1
18,18000000,0.491899,3.784365,1
18,18000000,0.482638,3.796077,1
18,18000000,0.481572,3.822057,1
18,18000000,0.482615,3.797363,1
18,18000000,0.491769,3.769139,1
18,18000000,0.491403,3.830955,1
18,18000000,0.482442,3.850990,1
18,18000000,0.515079,3.817138,1
20,20000000,0.541019,4.315471,1
20,20000000,0.541118,4.364605,1
20,20000000,0.544155,4.306274,1
20,20000000,0.540153,4.338315,1
20,20000000,0.540083,4.411164,1
20,20000000,0.540539,4.319494,1
20,20000000,0.553151,4.311723,1
20,20000000,0.540863,4.411497,1
20,20000000,0.542230,4.340160,1
20,20000000,0.540751,4.327796,1
22,22000000,0.577490,4.739323,1
22,22000000,0.593336,4.799815,1
22,22000000,0.576420,4.745611,1
22,22000000,0.575299,4.745591,1
22,22000000,0.576868,4.718645,1
22,22000000,0.577120,4.710420,1
22,22000000,0.593217,4.734888,1
22,22000000,0.576797,4.764101,1
22,22000000,0.587961,4.707748,1
22,22000000,0.586469,4.719829,1
24,24000000,0.603470,5.317267,1
24,24000000,0.609595,5.132008,1
24,24000000,0.615212,5.161476,1
24,24000000,0.602914,5.413023,1
24,24000000,0.602668,5.130445,1
24,24000000,0.600846,5.149715,1
24,24000000,0.600471,5.148698,1
24,24000000,0.600208,5.147124,1
24,24000000,0.602421,5.185138,1
24,24000000,0.601585,5.157068,1
26,26000000,0.620960,5.657597,1
26,26000000,0.629891,5.684725,1
26,26000000,0.618916,5.577420,1
26,26000000,0.620608,5.626654,1
26,26000000,0.620967,5.618220,1
26,26000000,0.618854,5.567203,1
26,26000000,0.618760,5.731964,1
26,26000000,0.620179,5.580492,1
26,26000000,0.620869,5.584199,1
26,26000000,0.622344,5.676703,1
