ntasks,global_data_size,parallel_time,serial_time
2,10000000,1.225624,2.041840
2,10000000,1.223722,2.046974
2,10000000,1.224901,2.041040
2,10000000,1.251148,2.070860
2,10000000,1.223633,2.107349
2,10000000,1.223733,2.043014
2,10000000,1.224242,2.117600
2,10000000,1.223239,2.044064
2,10000000,1.223296,2.045229
2,10000000,1.223952,2.071122
4,10000000,0.776784,2.046224
4,10000000,0.776876,2.038357
4,10000000,0.776569,2.117063
4,10000000,0.776103,2.055323
4,10000000,0.775000,2.064715
4,10000000,0.777302,2.036899
4,10000000,0.776156,2.064757
4,10000000,0.775067,2.185578
4,10000000,0.776068,2.085394
4,10000000,0.774032,2.048514
6,10000000,0.592789,2.053363
6,10000000,0.590371,2.070566
6,10000000,0.590619,2.124576
6,10000000,0.589625,2.048162
6,10000000,0.586549,2.073777
6,10000000,0.589721,2.050247
6,10000000,0.586489,2.047931
6,10000000,0.588505,2.046926
6,10000000,0.589609,2.049183
6,10000000,0.592147,2.045302
8,10000000,0.509833,2.054101
8,10000000,0.509788,2.044897
8,10000000,0.504689,2.042454
8,10000000,0.505059,2.175215
8,10000000,0.508218,2.042181
8,10000000,0.504676,2.060981
8,10000000,0.505717,2.167872
8,10000000,0.507410,2.150060
8,10000000,0.500743,2.119251
8,10000000,0.508438,2.050309
10,10000000,0.408762,2.034910
10,10000000,0.408529,2.040107
10,10000000,0.407938,2.038604
10,10000000,0.410201,2.040855
10,10000000,0.409794,2.054788
10,10000000,0.409439,2.040458
10,10000000,0.409612,2.040921
10,10000000,0.409734,2.039081
10,10000000,0.410302,2.071194
10,10000000,0.416424,2.042603
12,10000000,0.366880,2.043870
12,10000000,0.367412,2.034053
12,10000000,0.366428,2.038062
12,10000000,0.367549,2.041459
12,10000000,0.365903,2.045948
12,10000000,0.366311,2.042697
12,10000000,0.365906,2.052182
12,10000000,0.365802,2.034601
12,10000000,0.366755,2.034927
12,10000000,0.367270,2.037028
14,10000000,0.344778,2.039376
14,10000000,0.341492,2.040607
14,10000000,0.338166,2.036571
14,10000000,0.339786,2.049626
14,10000000,0.340154,2.154506
14,10000000,0.340934,2.038381
14,10000000,0.339413,2.034133
14,10000000,0.339248,2.071967
14,10000000,0.343958,2.042293
14,10000000,0.338701,2.033919
16,10000000,0.286264,2.035618
16,10000000,0.286541,2.049878
16,10000000,0.286771,2.036533
16,10000000,0.286736,2.035886
16,10000000,0.294115,2.037085
16,10000000,0.294165,2.045087
16,10000000,0.285573,2.031036
16,10000000,0.291754,2.040430
16,10000000,0.286662,2.036035
16,10000000,0.287372,2.059500
18,10000000,0.269558,2.037115
18,10000000,0.270913,2.034093
18,10000000,0.268757,2.042002
18,10000000,0.269644,2.035238
18,10000000,0.270352,2.069735
18,10000000,0.269298,2.037946
18,10000000,0.269080,2.038502
18,10000000,0.269276,2.037442
18,10000000,0.269411,2.033820
18,10000000,0.269121,2.034893
20,10000000,0.258756,2.121060
20,10000000,0.256311,2.035072
20,10000000,0.257061,2.160354
20,10000000,0.255899,2.077742
20,10000000,0.256980,2.033817
20,10000000,0.258075,2.040574
20,10000000,0.256684,2.212998
20,10000000,0.256466,2.041828
20,10000000,0.256910,2.043434
20,10000000,0.264916,2.036650
22,10000000,0.249599,2.036919
22,10000000,0.248953,2.043193
22,10000000,0.250194,2.043810
22,10000000,0.249495,2.041611
22,10000000,0.249357,2.125899
22,10000000,0.250032,2.035174
22,10000000,0.249854,2.079795
22,10000000,0.251405,2.107360
22,10000000,0.250437,2.034932
22,10000000,0.251111,2.041938
24,10000000,0.241480,2.041637
24,10000000,0.240377,2.032206
24,10000000,0.242867,2.150022
24,10000000,0.240373,2.047923
24,10000000,0.241686,2.055616
24,10000000,0.241453,2.031932
24,10000000,0.241166,2.050654
24,10000000,0.244266,2.040691
24,10000000,0.241325,2.043418
24,10000000,0.241542,2.100767
26,10000000,0.232880,2.141701
26,10000000,0.230503,2.048910
26,10000000,0.230891,2.034094
26,10000000,0.233066,2.091842
26,10000000,0.231198,2.039164
26,10000000,0.230204,2.053180
26,10000000,0.230479,2.092544
26,10000000,0.231665,2.042665
26,10000000,0.231439,2.034049
26,10000000,0.230961,2.037591
28,10000000,0.223224,2.035396
28,10000000,0.223424,2.032209
28,10000000,0.222660,2.042479
28,10000000,0.223730,2.076782
28,10000000,0.223519,2.072013
28,10000000,0.222386,2.086883
28,10000000,0.223517,2.125845
28,10000000,0.224277,2.035384
28,10000000,0.224784,2.035538
28,10000000,0.222807,2.033822
30,10000000,0.215762,2.045189
30,10000000,0.214972,2.075073
30,10000000,0.213927,2.124129
30,10000000,0.215501,2.036876
30,10000000,0.215474,2.033183
30,10000000,0.213370,2.037755
30,10000000,0.214216,2.036755
30,10000000,0.219890,2.178084
30,10000000,0.214315,2.074554
30,10000000,0.218491,2.052830
32,10000000,0.209640,2.046366
32,10000000,0.209788,2.043478
32,10000000,0.210400,2.041520
32,10000000,0.209342,2.041571
32,10000000,0.209639,2.037993
32,10000000,0.209363,2.043093
32,10000000,0.209635,2.037482
32,10000000,0.209789,2.047551
32,10000000,0.210486,2.040915
32,10000000,0.209591,2.075984
34,10000000,0.202187,2.039902
34,10000000,0.206297,2.035980
34,10000000,0.202766,2.044278
34,10000000,0.203073,2.037201
34,10000000,0.202217,2.031128
34,10000000,0.203449,2.061566
34,10000000,0.203016,2.046301
34,10000000,0.202290,2.036726
34,10000000,0.201879,2.089508
34,10000000,0.202192,2.042181
36,10000000,0.197975,2.038066
