Num_Threads,n_x,n_y,x_L,y_L,x_R,y_R,I_max,Calc_Time
4,720,468,-2.000000,-1.000000,1.000000,1.000000,255,0.109077
4,720,468,-2.000000,-1.000000,1.000000,1.000000,255,0.107792
4,720,468,-2.000000,-1.000000,1.000000,1.000000,255,0.107533
4,720,468,-2.000000,-1.000000,1.000000,1.000000,255,0.107765
4,720,468,-2.000000,-1.000000,1.000000,1.000000,255,0.107522
8,1440,936,-2.000000,-1.000000,1.000000,1.000000,255,0.325665
8,1440,936,-2.000000,-1.000000,1.000000,1.000000,255,0.325085
8,1440,936,-2.000000,-1.000000,1.000000,1.000000,255,0.324631
8,1440,936,-2.000000,-1.000000,1.000000,1.000000,255,0.324348
8,1440,936,-2.000000,-1.000000,1.000000,1.000000,255,0.324404
16,2880,1872,-2.000000,-1.000000,1.000000,1.000000,255,1.134103
16,2880,1872,-2.000000,-1.000000,1.000000,1.000000,255,1.132891
16,2880,1872,-2.000000,-1.000000,1.000000,1.000000,255,1.136540
16,2880,1872,-2.000000,-1.000000,1.000000,1.000000,255,1.138586
16,2880,1872,-2.000000,-1.000000,1.000000,1.000000,255,1.122252
32,5760,3744,-2.000000,-1.000000,1.000000,1.000000,255,4.451214
32,5760,3744,-2.000000,-1.000000,1.000000,1.000000,255,4.256109
32,5760,3744,-2.000000,-1.000000,1.000000,1.000000,255,4.440758
32,5760,3744,-2.000000,-1.000000,1.000000,1.000000,255,4.448626
32,5760,3744,-2.000000,-1.000000,1.000000,1.000000,255,4.437676
64,11520,7488,-2.000000,-1.000000,1.000000,1.000000,255,8.774491
64,11520,7488,-2.000000,-1.000000,1.000000,1.000000,255,8.967278
64,11520,7488,-2.000000,-1.000000,1.000000,1.000000,255,8.793590
64,11520,7488,-2.000000,-1.000000,1.000000,1.000000,255,8.770562
64,11520,7488,-2.000000,-1.000000,1.000000,1.000000,255,8.877828
128,23040,14976,-2.000000,-1.000000,1.000000,1.000000,255,19.803482
128,23040,14976,-2.000000,-1.000000,1.000000,1.000000,255,19.731029
128,23040,14976,-2.000000,-1.000000,1.000000,1.000000,255,19.837191
128,23040,14976,-2.000000,-1.000000,1.000000,1.000000,255,19.654890
128,23040,14976,-2.000000,-1.000000,1.000000,1.000000,255,19.656584
4,720,468,-2.000000,-1.000000,1.000000,1.000000,65565,14.599932
4,720,468,-2.000000,-1.000000,1.000000,1.000000,65565,14.610969
4,720,468,-2.000000,-1.000000,1.000000,1.000000,65565,14.607545
4,720,468,-2.000000,-1.000000,1.000000,1.000000,65565,14.609616
4,720,468,-2.000000,-1.000000,1.000000,1.000000,65565,14.609081
8,1440,936,-2.000000,-1.000000,1.000000,1.000000,65565,29.246542
8,1440,936,-2.000000,-1.000000,1.000000,1.000000,65565,29.245084
8,1440,936,-2.000000,-1.000000,1.000000,1.000000,65565,29.256648
8,1440,936,-2.000000,-1.000000,1.000000,1.000000,65565,29.250902
8,1440,936,-2.000000,-1.000000,1.000000,1.000000,65565,29.247042
16,2880,1872,-2.000000,-1.000000,1.000000,1.000000,65565,58.863121
16,2880,1872,-2.000000,-1.000000,1.000000,1.000000,65565,58.835603
16,2880,1872,-2.000000,-1.000000,1.000000,1.000000,65565,58.765111
16,2880,1872,-2.000000,-1.000000,1.000000,1.000000,65565,58.831159
16,2880,1872,-2.000000,-1.000000,1.000000,1.000000,65565,58.813786
32,5760,3744,-2.000000,-1.000000,1.000000,1.000000,65565,118.976836
32,5760,3744,-2.000000,-1.000000,1.000000,1.000000,65565,118.937319
32,5760,3744,-2.000000,-1.000000,1.000000,1.000000,65565,118.896743
32,5760,3744,-2.000000,-1.000000,1.000000,1.000000,65565,118.920253
32,5760,3744,-2.000000,-1.000000,1.000000,1.000000,65565,118.851732
64,11520,7488,-2.000000,-1.000000,1.000000,1.000000,65565,238.902397
64,11520,7488,-2.000000,-1.000000,1.000000,1.000000,65565,238.843407
64,11520,7488,-2.000000,-1.000000,1.000000,1.000000,65565,238.759624
64,11520,7488,-2.000000,-1.000000,1.000000,1.000000,65565,238.925610
64,11520,7488,-2.000000,-1.000000,1.000000,1.000000,65565,238.938616
128,23040,14976,-2.000000,-1.000000,1.000000,1.000000,65565,480.375486
128,23040,14976,-2.000000,-1.000000,1.000000,1.000000,65565,480.494873
128,23040,14976,-2.000000,-1.000000,1.000000,1.000000,65565,480.697219
128,23040,14976,-2.000000,-1.000000,1.000000,1.000000,65565,480.458242
